parameter,cos_ratio,cos_weighted,pearson,sn_proj,fd_mode,delta_p
herei,-0.6017928583824765,-0.47198853629116594,-0.5283631482633591,-36.153398968910196,backward,0.005999999999999997
ns,-0.6457737677110416,-0.43067784857219316,-0.5151134711318321,-400.4421154416847,central,0.0025
dtau0,-0.3281120378524962,-0.4206314077625161,-0.10507402615773068,-116.13204054675255,central,0.006500000000000001
heref,-0.3335781468908625,-0.2424992775213864,-0.27559637083092803,-12.656941486706845,central,0.006000000000000001
Ap,-0.43116273888670853,0.24010778179200024,0.41458235885934314,101609803171.1287,central,1.4000000000000002e-11
omegamh2,-0.41715402669363083,0.20063724564317548,0.3832039579888077,2201.916736268081,central,5.999999999999978e-05
alphaq,0.38972879196405585,-0.17379923803906766,-0.049755645021261494,-10.281913378362079,central,0.017
hub,0.24128979874941245,-0.1593435917097545,-0.04174706735245143,-113.94967928763137,central,0.0009999999999999998
tau0,-0.5267672758378058,0.09575969757985893,0.1603558046034602,189.5798452636933,central,0.005
bhfeedback,0.046656636385513914,0.014962893550841343,-0.10409084504990872,3.5216826035394044,central,0.0004000000000000001
hireionz,0.21264280511394498,0.006608358116947954,-0.2142936669870763,0.14112397430506218,central,0.015
