DDE degeneracy ranking — all_z
========================================================================
params file: bestfit_z2.2-4.6.txt
STEP_FRAC: 0.01
redshift bins: [4.6 4.4 4.2 4.  3.8 3.6 3.4 3.2 3.  2.8 2.6 2.4 2.2]
n points: 455

parameter             cos_ratio   cos_weighted    pearson      sn_proj       mode          dp
-----------------------------------------------------------------------------------------------
herei                  -0.60179       -0.47199   -0.52836 -3.61534e+01   backward 6.00000e-03
ns                     -0.64577       -0.43068   -0.51511 -4.00442e+02    central 2.50000e-03
dtau0                  -0.32811       -0.42063   -0.10507 -1.16132e+02    central 6.50000e-03
heref                  -0.33358       -0.24250   -0.27560 -1.26569e+01    central 6.00000e-03
Ap                     -0.43116        0.24011    0.41458  1.01610e+11    central 1.40000e-11
omegamh2               -0.41715        0.20064    0.38320  2.20192e+03    central 6.00000e-05
alphaq                  0.38973       -0.17380   -0.04976 -1.02819e+01    central 1.70000e-02
hub                     0.24129       -0.15934   -0.04175 -1.13950e+02    central 1.00000e-03
tau0                   -0.52677        0.09576    0.16036  1.89580e+02    central 5.00000e-03
bhfeedback              0.04666        0.01496   -0.10409  3.52168e+00    central 4.00000e-04
hireionz                0.21264        0.00661   -0.21429  1.41124e-01    central 1.50000e-02
