DDE degeneracy ranking — no_z2p2
========================================================================
params file: bestfit_z2.6-4.6.txt
STEP_FRAC: 0.01
redshift bins: [4.6 4.4 4.2 4.  3.8 3.6 3.4 3.2 3.  2.8 2.6 2.4]
n points: 420

parameter             cos_ratio   cos_weighted    pearson      sn_proj       mode          dp
-----------------------------------------------------------------------------------------------
herei                  -0.62373       -0.48599   -0.53516 -2.85978e+01    central 6.00000e-03
ns                     -0.59627       -0.43774   -0.45166 -3.47844e+02    central 2.50000e-03
dtau0                  -0.36860       -0.43612   -0.06936 -1.03118e+02    central 6.50000e-03
heref                  -0.36017       -0.25454   -0.28180 -1.11796e+01    central 6.00000e-03
Ap                     -0.43455        0.23167    0.41321  8.51909e+10    central 1.40000e-11
bhfeedback              0.21108        0.19246   -0.02415  5.40903e+01    central 4.00000e-04
alphaq                  0.38932       -0.18656   -0.09271 -1.00715e+01    central 1.70000e-02
omegamh2               -0.43769        0.18587    0.40792  1.93840e+03    central 6.00000e-05
hub                     0.24138       -0.16131   -0.04037 -1.05486e+02    central 1.00000e-03
hireionz                0.29437        0.08048   -0.17019  1.87530e+00    central 1.50000e-02
tau0                   -0.53724        0.07096    0.17695  1.40598e+02    central 5.00000e-03
