parameter,cos_ratio,cos_weighted,pearson,sn_proj,fd_mode,delta_p
herei,-0.6444627785447573,-0.4971577000123366,-0.5366120763654011,-27.038421068496934,central,0.005999999999999997
ns,-0.5927145480881975,-0.46061480245633546,-0.43470479085235325,-329.816287719132,central,0.0025
dtau0,-0.397721200351706,-0.43555072707960685,-0.007719289784157162,-87.19627043279296,central,0.006500000000000001
heref,-0.3977246364348384,-0.24930036802668856,-0.2640596093762257,-9.89037663225143,central,0.006000000000000001
Ap,-0.46897121350674437,0.19378613808215725,0.3703440861391523,63613116320.92945,central,1.4000000000000002e-11
bhfeedback,0.22127409915389626,0.19278913504988118,-0.05671080390095179,50.44371353931607,central,0.0004000000000000001
alphaq,0.41063069856494655,-0.1640591381390381,-0.06914821952652529,-8.079048454940555,central,0.017
omegamh2,-0.4619131736016029,0.14697479267750965,0.39398570495422747,1383.328437913228,central,5.999999999999978e-05
hub,0.25483600819651325,-0.13551428495255466,-0.027547432560701197,-78.41796370633183,central,0.0009999999999999998
hireionz,0.30227184229886644,0.10123481470206597,-0.21749622021823348,2.2021224317616515,central,0.015
tau0,-0.5547284632433941,0.029055072564452458,0.21363343624447592,51.6509635305778,central,0.005
