DDE degeneracy ranking — no_z2p2_no_z2p4
========================================================================
params file: bestfit_z2.6-4.6.txt
STEP_FRAC: 0.01
redshift bins: [4.6 4.4 4.2 4.  3.8 3.6 3.4 3.2 3.  2.8 2.6]
n points: 385

parameter             cos_ratio   cos_weighted    pearson      sn_proj       mode          dp
-----------------------------------------------------------------------------------------------
herei                  -0.64446       -0.49716   -0.53661 -2.70384e+01    central 6.00000e-03
ns                     -0.59271       -0.46061   -0.43470 -3.29816e+02    central 2.50000e-03
dtau0                  -0.39772       -0.43555   -0.00772 -8.71963e+01    central 6.50000e-03
heref                  -0.39772       -0.24930   -0.26406 -9.89038e+00    central 6.00000e-03
Ap                     -0.46897        0.19379    0.37034  6.36131e+10    central 1.40000e-11
bhfeedback              0.22127        0.19279   -0.05671  5.04437e+01    central 4.00000e-04
alphaq                  0.41063       -0.16406   -0.06915 -8.07905e+00    central 1.70000e-02
omegamh2               -0.46191        0.14697    0.39399  1.38333e+03    central 6.00000e-05
hub                     0.25484       -0.13551   -0.02755 -7.84180e+01    central 1.00000e-03
hireionz                0.30227        0.10123   -0.21750  2.20212e+00    central 1.50000e-02
tau0                   -0.55473        0.02906    0.21363  5.16510e+01    central 5.00000e-03
