parameter,cos_ratio,cos_weighted,pearson,sn_proj,fd_mode,delta_p
herei,-0.6266177209207815,-0.6134112133490356,-0.5835085995032997,-47.211803648312305,backward,0.005999999999999997
dtau0,-0.5105433795352591,-0.5542132722499069,-0.5473622455317501,-159.7083876301762,central,0.006500000000000001
heref,-0.47660635372453974,-0.4693392427909279,-0.4249473644591223,-27.251612896930965,central,0.006000000000000001
ns,-0.5889922658652725,-0.371389721597751,-0.5665318222899446,-227.4041305198863,central,0.0025
hub,0.11364976826399965,-0.22267035882626138,-0.1293958565590214,-90.90819944047823,central,0.0009999999999999998
hireionz,0.21994911909982467,0.2101643939516167,-0.018321669735023832,2.525845809774339,central,0.015
bhfeedback,-0.11481946105298807,0.1880697541098564,-0.12723563967358023,38.264589167700066,central,0.0004000000000000001
Ap,-0.19281933423832298,0.12823752029181926,0.6769311292509642,25102207048.64907,central,1.4000000000000002e-11
omegamh2,-0.18255632518128526,0.11925769844646694,0.48092514114522994,703.8319689271184,central,5.999999999999978e-05
tau0,-0.33353393171623164,-0.03574872778908799,-0.12582555943838192,-30.588030933241356,central,0.005
alphaq,0.27099877284189416,0.0031072332538917328,-0.16583195013548305,0.10095322015903974,central,0.017
