DDE degeneracy ranking (DESI EDRP weighting) — all_z
================================================================================
params file: bestfit_z2.2-4.6.txt
STEP_FRAC: 0.01
DESI z bins used: [2.2 2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8]
n DESI points: 216
emulator z support: [2.2, 4.6]

parameter             cos_ratio   cos_weighted    pearson      sn_proj       mode          dp
--------------------------------------------------------------------------------------------------
herei                  -0.62662       -0.61341   -0.58351 -4.72118e+01   backward 6.00000e-03
dtau0                  -0.51054       -0.55421   -0.54736 -1.59708e+02    central 6.50000e-03
heref                  -0.47661       -0.46934   -0.42495 -2.72516e+01    central 6.00000e-03
ns                     -0.58899       -0.37139   -0.56653 -2.27404e+02    central 2.50000e-03
hub                     0.11365       -0.22267   -0.12940 -9.09082e+01    central 1.00000e-03
hireionz                0.21995        0.21016   -0.01832  2.52585e+00    central 1.50000e-02
bhfeedback             -0.11482        0.18807   -0.12724  3.82646e+01    central 4.00000e-04
Ap                     -0.19282        0.12824    0.67693  2.51022e+10    central 1.40000e-11
omegamh2               -0.18256        0.11926    0.48093  7.03832e+02    central 6.00000e-05
tau0                   -0.33353       -0.03575   -0.12583 -3.05880e+01    central 5.00000e-03
alphaq                  0.27100        0.00311   -0.16583  1.00953e-01    central 1.70000e-02
