parameter,cos_ratio,cos_weighted,pearson,sn_proj,fd_mode,delta_p
herei,-0.6598631992941985,-0.6555517709567956,-0.6092937223218982,-39.486331524088044,central,0.005999999999999997
dtau0,-0.614459483937598,-0.6262836212192837,-0.5941817053273398,-145.46636599528642,central,0.006500000000000001
heref,-0.5303769264267005,-0.5228404364036676,-0.4478307900570028,-26.167029541028395,central,0.006000000000000001
ns,-0.5150026341193727,-0.41752816840878004,-0.5099203974501463,-210.7742841469565,central,0.0025
bhfeedback,0.1296821965987031,0.3833688894637444,0.029519153533510104,100.03522938432121,central,0.0004000000000000001
hireionz,0.29460237810167317,0.35003349136933865,0.04117007410564476,4.561802677709731,central,0.015
hub,0.10964051701849188,-0.17149009721585365,-0.15545632592871836,-60.89285484762051,central,0.0009999999999999998
Ap,-0.23385349030799168,0.12840455321980743,0.6596502484357927,21100871822.980198,central,1.4000000000000002e-11
tau0,-0.378252263899098,-0.06403571303028169,-0.2125314168290957,-53.28526473257712,central,0.005
alphaq,0.27065748562805425,-0.062247059543823494,-0.39617999774510554,-1.6115160370492179,central,0.017
omegamh2,-0.2306895463535338,0.05778805601791174,0.570632215488851,300.075401971815,central,5.999999999999978e-05
