DDE degeneracy ranking (DESI EDRP weighting) — no_z2p2
================================================================================
params file: bestfit_z2.6-4.6.txt
STEP_FRAC: 0.01
DESI z bins used: [2.4 2.6 2.8 3.  3.2 3.4 3.6 3.8]
n DESI points: 192
emulator z support: [2.2, 4.6]

parameter             cos_ratio   cos_weighted    pearson      sn_proj       mode          dp
--------------------------------------------------------------------------------------------------
herei                  -0.65986       -0.65555   -0.60929 -3.94863e+01    central 6.00000e-03
dtau0                  -0.61446       -0.62628   -0.59418 -1.45466e+02    central 6.50000e-03
heref                  -0.53038       -0.52284   -0.44783 -2.61670e+01    central 6.00000e-03
ns                     -0.51500       -0.41753   -0.50992 -2.10774e+02    central 2.50000e-03
bhfeedback              0.12968        0.38337    0.02952  1.00035e+02    central 4.00000e-04
hireionz                0.29460        0.35003    0.04117  4.56180e+00    central 1.50000e-02
hub                     0.10964       -0.17149   -0.15546 -6.08929e+01    central 1.00000e-03
Ap                     -0.23385        0.12840    0.65965  2.11009e+10    central 1.40000e-11
tau0                   -0.37825       -0.06404   -0.21253 -5.32853e+01    central 5.00000e-03
alphaq                  0.27066       -0.06225   -0.39618 -1.61152e+00    central 1.70000e-02
omegamh2               -0.23069        0.05779    0.57063  3.00075e+02    central 6.00000e-05
