parameter,cos_ratio,cos_weighted,pearson,sn_proj,fd_mode,delta_p
herei,-0.6832592290638254,-0.7106029186535407,-0.6130197392702219,-39.506027102699704,central,0.005999999999999997
dtau0,-0.6985972999030646,-0.6826334762380077,-0.6257213844977335,-119.71412818819316,central,0.006500000000000001
heref,-0.5595095108457325,-0.5539580858386048,-0.42715381834419347,-23.44495697533297,central,0.006000000000000001
ns,-0.5148767484371363,-0.42776733327092387,-0.5101935901266206,-175.42047149135692,central,0.0025
bhfeedback,0.13053304030568777,0.35664966427281164,-0.015384146909017528,80.81526220239056,central,0.0004000000000000001
hireionz,0.31986230229517115,0.3321109043452676,-0.007981872530695112,3.728800255932209,central,0.015
hub,0.1742832959893833,-0.2148441150601064,-0.11675631141344452,-63.13218571424263,central,0.0009999999999999998
Ap,-0.3042225578464373,0.20394272534849753,0.6745716201877006,28850795348.84694,central,1.4000000000000002e-11
alphaq,0.3199878235201059,-0.20096104962969086,-0.5302848392207653,-4.184846681096288,central,0.017
omegamh2,-0.2911445637666392,0.14730474708924512,0.5962161504729633,636.7674263448353,central,5.999999999999978e-05
tau0,-0.4424328926198541,-0.005040750814710753,-0.22766717162500846,-3.5726187649149654,central,0.005
