DDE degeneracy ranking (DESI EDRP weighting) — no_z2p2_no_z2p4
================================================================================
params file: bestfit_z2.6-4.6.txt
STEP_FRAC: 0.01
DESI z bins used: [2.6 2.8 3.  3.2 3.4 3.6 3.8]
n DESI points: 168
emulator z support: [2.2, 4.6]

parameter             cos_ratio   cos_weighted    pearson      sn_proj       mode          dp
--------------------------------------------------------------------------------------------------
herei                  -0.68326       -0.71060   -0.61302 -3.95060e+01    central 6.00000e-03
dtau0                  -0.69860       -0.68263   -0.62572 -1.19714e+02    central 6.50000e-03
heref                  -0.55951       -0.55396   -0.42715 -2.34450e+01    central 6.00000e-03
ns                     -0.51488       -0.42777   -0.51019 -1.75420e+02    central 2.50000e-03
bhfeedback              0.13053        0.35665   -0.01538  8.08153e+01    central 4.00000e-04
hireionz                0.31986        0.33211   -0.00798  3.72880e+00    central 1.50000e-02
hub                     0.17428       -0.21484   -0.11676 -6.31322e+01    central 1.00000e-03
Ap                     -0.30422        0.20394    0.67457  2.88508e+10    central 1.40000e-11
alphaq                  0.31999       -0.20096   -0.53028 -4.18485e+00    central 1.70000e-02
omegamh2               -0.29114        0.14730    0.59622  6.36767e+02    central 6.00000e-05
tau0                   -0.44243       -0.00504   -0.22767 -3.57262e+00    central 5.00000e-03
